City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,broome,42.2506,-75.833,13.34,76,100,1.34,US,1715270854
344,bichura,50.5881,107.6022,3.3,85,100,2.29,RU,1715270854
345,zouerate,22.7187,-12.4521,38.57,7,100,5.35,MR,1715270855
346,lamar,33.6668,-95.5836,27.77,71,40,5.66,US,1715270855
347,dongola,19.1667,30.4833,35.6,4,3,4.3,SD,1715270855
348,nemuro,43.3236,145.575,3.38,91,100,4.14,JP,1715270855
349,madimba,-10.4,40.3333,25.7,83,85,5.79,TZ,1715270855
350,holualoa,19.6228,-155.9522,19.91,83,0,1.54,US,1715270855
351,vadso,70.0744,29.7487,2.49,64,0,6.69,NO,1715270856
352,la palma,33.8464,-118.0467,18.4,76,75,3.09,US,1715270856
353,porto torres,40.835,8.3972,22.1,71,47,4.07,IT,1715270856
354,dabat,12.9842,37.765,18.42,48,100,2.58,ET,1715270856
355,taroa,8.7058,171.2275,27.59,84,94,8.49,MH,1715270856
356,krasnozavodsk,56.45,38.2167,3.3,59,88,4.41,RU,1715270856
357,shahrak,34.1074,64.3052,15.6,43,50,2.15,AF,1715270857
358,wenxing,28.6667,112.8833,19.03,73,100,3.38,CN,1715270857
359,oranjemund,-28.55,16.4333,15.26,79,0,5.6,NA,1715270857
360,tralee,52.2704,-9.7026,19.14,55,0,6.17,IE,1715270857
361,puerto aysen,-45.4,-72.7,5.13,100,100,1.18,CL,1715270786
362,arilje,43.7531,20.0956,15.2,91,100,2.84,RS,1715270857
